text,label
"HIer wäre ein sehr kurzes Radwegstück wünschenswert, um von der Kirchfeldgasse aus die Kreuzung überqueren und in die Karl-Heiz-Straße gelangen zu können (Zufahrt Liesingbach).",Lückenschluss
"An der Ecke bei der PVA ist der Randstein schon so weit in den Asphalt eingesunken, dass da ein ziemliches ""Schlagloch"" entstanden ist",Hindernis
"An dieser Stelle sind getrennte Signale für den Fußweg und den Radweg. Sie sind aber offenbar gleichgeschaltet. Das Fahrradsignal sollte aber später rot werden, weil hier keine so lange Räumzeit nötig ist.",Ampel
"Durch die Baustelle enden die Radwege im Bauzaun bzw. führen sogar in den Gegenverkehr, keine Umleitung und auch keine Beschilderung. Völlig unklar wie man hier als Radfahrer fahren sollte",Gefahrenstelle
"Touristen, Radverkehr, Bim und KFZ treffen hier an einer recht unklaren Stelle zusammen.",Gefahrenstelle
"Genau hier steht relativ unmotiviert eine Litfasssäule, die den Radweg zu einer engen Kurve zwingt und die Sicht auf evtl. entgegenkommnende Radler nimmt.",Hindernis
"10 Meter Einbahn sind hier zu öffnen, die bei weitem breit genug sind, um eine optimale Verbindung von der Alser Straße zum Gürtel in Richtung Süden zu haben!",Lückenschluss
"Diese Glascheibenkante, die genau am Radweg endet, ist in der Nacht unsichtbar und kann extrem Gefährlich werden.",Gefahrenstelle
"An dieser Stelle fehlt offenbar seit einem Umbau ein ""Ausgenommen Fahrrad"" bei einem Rechtsbbiegegebot. Dadurch ist es nicht legal möglich, fahrend auf den Donaukanalweg zu gelangen (speziell nach Norden).",Markierung oder Schild
Ein kurzes Stück Radweg entlang dieser Seite der Gürtelfahrbahn würde das Fahren Äußere Mariahilfer Str -> Bürgerspitalgasse ermöglichen.,Lückenschluss
"Es gibt in der Siebenbürgerstrasse, Wien 22 , keinen durchgehend Radweg . Lediglich in der Nebenfahrbahn der Siebenbürgerstrasse, auf einer Länge von ca . 50 Meter , besteht ein Radweg .",Lückenschluss
"Speisinger Straße, Abschnitt Maurer Hauptplatz -> Rosenhügelstraße",Lückenschluss
"Beim baustellenbedingten Umdrehen der Einbahn (ausgenommen Fahrrad) wurde das ""ausgenommen Fahrrad"" ""vergessen.",Hindernis
Hier stehen regelmäßig Mistkübel am Mehrzweckstreifen.,Hindernis
"Wenn man hier aus der Richtung Sptalgasse die Währingerstraße kommt und in Richtung Ring fährt, ist es unmöglich hier mit einer grünen Phase über beide Ampeln zu kommen - 5 Sekunden mehr Grünphase würden hier schon einen essentiellen Unterschied machen.",Ampel
"Für Fahrräder gibt es hier eine eigene Ampel, welche noch grün ist, während die Fußgängerampel bereits rot ist. Die Fahrradampel ist für abbiegende Autofahrer jedoch nicht sichtbar. Diese sehen die rote Fußgängerampel und sind der Meinung, freie Fahrt zu haben.",Ampel
