text,label
Baustellen-WC auf dem Radstreifen aufgestellt.,Hindernis
Schlechte Sicht auf Ampel durch Baumwuchs.,Ampel
Radfahrerspur im Winter nicht geräumt – Eisglätte.,Hindernis
Fahrbahn nach Regen sehr glitschig – Sturzgefahr.,Gefahrenstelle
"Wenn der Radweg hier noch ein bisserl schmäler wäre, könnte man ihn nur mehr mit Dackelschneidern befahren (derzeit streift nur der Lenker am Gebüsch)",Gefahrenstelle
Fehlendes Halte-Verbot auf Radweg.,Markierung oder Schild
Fehlende Radwegführung durch das Stadtentwicklungsgebiet Seestadt.,Lückenschluss
"Hier ragt ein Stopschild über den Radweg, genau in Kopfhöhe. Bin neugierig wie lange es dauert bis es aufgerichtet wird. (Rautenweg stadtauswärts kurz vor dem Tierquartier)",Gefahrenstelle
Kreuzung beim AKH immer wieder blockiert durch haltende Taxis.,Gefahrenstelle
Schild für Radweg-Zufahrt fehlt an der Hauptstraße.,Markierung oder Schild
Zu kurze Grünphase für Radfahrer mit Gepäck.,Ampel
Zum Leopoldine -Glöckel-Weg,Lückenschluss
Fußgänger queren Radweg ohne zu schauen am Karlsplatz.,Gefahrenstelle
Fahrradweg auf der Rußbergstraße von der Straßenbahnhaltestelle 26 bis Anton-Böckgasse beidseitig verlängern.,Lückenschluss
"Die Ampel, welche das Einfahren von Autos aus der Bellariastr. auf den Ring regelt, ist grün. Die parallele Rad-/Fußgängerampel zur Querung des Rings ist noch 3 sec länger rot.",Ampel
Sperrlinie verhindert legales Abbiegen auf Radweg.,Markierung oder Schild
Gefährliche Einfahrt beim Parkhaus – Autofahrer sehen Radfahrer nicht.,Gefahrenstelle
Straße nach Bauarbeiten sehr schmal – kein Platz für Radfahrer.,Gefahrenstelle
Kein Radweg auf der Laxenburger Straße stadteinwärts.,Lückenschluss
Radweg führt direkt in eine unübersichtliche Einfahrt.,Gefahrenstelle
Lücke im Radwegenetz zwischen 15. und 16. Bezirk.,Lückenschluss
"Leider gibt es auf dem gesamten Maurer Hauptplatz, Speisinger Straße, Gesslgasse keinen adäquaten Radweg. Das Argument der 30er Zone ist obsolet, da die Straßensituation sehr gefährlich für Radfahrer ist dh. Tempolimit wird nicht eingehalten,",Lückenschluss
"Die Ketzergasse ist auf der gesamten Länge wirklich ungut zu fahren, gibt es hier überhaupt Alternativrouten oder Pläne für eine Verbesserung?",Gefahrenstelle
Einbahnregelung für Radfahrer nicht an der Ausfahrt markiert.,Markierung oder Schild
Autos biegen rechts ab ohne auf Radfahrer zu achten.,Gefahrenstelle
Ampelphase für Schulweg zu kurz.,Ampel
"Links- oder Geradeaus-Fahrgebot Richtung Gürtel. Hier fehlt die Zusatztafel ""Ausgenommen Radfahrer"". Kirchstetterngasse ist ja für Radfahrer jetzt offen gegen die Einbahn.",Markierung oder Schild
Kein Radweg auf dem Abschnitt Rennweg–Erdberg.,Lückenschluss
Ampelknopf nach Bauarbeiten nicht mehr erreichbar.,Ampel
Kaputte Absperrung ragt in den Radweg hinein.,Hindernis
Kreuzungsmarkierungen für Radfahrer nach Repaving fehlen.,Markierung oder Schild
Radwegmarkierung nach Baustelle nicht erneuert.,Markierung oder Schild
Am Stück zwischen Bushaltestelle Dahliengasse und Draugasse ist in eine Richtung kein Radweg. Der Radweg hört ab der Bushaltestelle einfach auf.,Lückenschluss
Wegweisungsschild zum Donaukanal zeigt falsche Abzweigung.,Markierung oder Schild
Hier wäre Platz aber es gibt keine Möglichkeit um hier sicher nach Strebersdorf zu kommen. Bitte um einen Radweg. Wir haben 2022.,Lückenschluss
Dunkle Passage ohne Beleuchtung – Gefahr für Radfahrer.,Gefahrenstelle
Fehlende Radwegführung durch den Prater nach Kagran.,Lückenschluss
