text,label,typ
Autos parken auf dem Radstreifen und blockieren die Sicht beim Abbiegen.,Gefahrenstelle,synthetisch
Die Kreuzung ist morgens durch haltende Fahrzeuge vollständig blockiert.,Gefahrenstelle,synthetisch
Autofahrer erkennen nicht dass der Radstreifen hier endet und fahren drüber.,Gefahrenstelle,synthetisch
Beim Abbiegen von der Hörlgasse wird man von Autos nicht gesehen.,Gefahrenstelle,synthetisch
Radfahrer werden auf dem Radstreifen von PKW knapp überholt.,Gefahrenstelle,synthetisch
Kollisionsgefahr am Radstreifen wegen ein- und aussteigender Fahrgäste.,Gefahrenstelle,synthetisch
LKW fahren zu knapp an Radfahrern vorbei.,Gefahrenstelle,synthetisch
Autofahrer von links sehen Radfahrer nicht beim Abbiegen.,Gefahrenstelle,synthetisch
Kreuzung mit Straßenbahn und schlechter Sicht für Radfahrer.,Gefahrenstelle,synthetisch
Fahrradstreifen wird von PKW-Fahrern regelmäßig benutzt.,Gefahrenstelle,synthetisch
Gefährliche Situation bei der Einmündung Taborstraße – Autos ignorieren Vorrang.,Gefahrenstelle,synthetisch
Am Gürtel fahren LKW viel zu nah an Radfahrern vorbei.,Gefahrenstelle,synthetisch
Kreuzung Mariahilfer Straße unübersichtlich für Radfahrer bei Nacht.,Gefahrenstelle,synthetisch
Beinahe-Unfall täglich an dieser Kreuzung wegen schlechter Ampelschaltung.,Gefahrenstelle,synthetisch
Autos biegen rechts ab ohne auf Radfahrer zu achten.,Gefahrenstelle,synthetisch
Dooring-Zone beim Parkstreifen – Türen werden plötzlich aufgemacht.,Gefahrenstelle,synthetisch
Ringstraße: Autobusse übersehen Radfahrer beim Einfahren in die Haltestelle.,Gefahrenstelle,synthetisch
Sichtverhältnisse an der Kreuzung Währingerstraße sehr schlecht.,Gefahrenstelle,synthetisch
Kfz fahren mit überhöhter Geschwindigkeit durch die 30er Zone.,Gefahrenstelle,synthetisch
Fußgänger und Radfahrer teilen sich einen zu schmalen Streifen.,Gefahrenstelle,synthetisch
Rechtsabbieger schneiden regelmäßig den Radweg beim Abbiegen.,Gefahrenstelle,synthetisch
Straßenbahn und Radfahrer teilen sich die Spur ohne Trennung.,Gefahrenstelle,synthetisch
Gefährliche Einfahrt beim Parkhaus – Autofahrer sehen Radfahrer nicht.,Gefahrenstelle,synthetisch
Wenig Platz zwischen Straßenbahnschienen und Radweg führt zu Stürzen.,Gefahrenstelle,synthetisch
Autos stehen in der Radfahrer-Aufstellfläche vor der Ampel.,Gefahrenstelle,synthetisch
Kreuzung Naschmarkt – Autos blockieren Radweg beim Linksabbiegen.,Gefahrenstelle,synthetisch
Hohes Unfallrisiko durch Lieferwagen die auf dem Radstreifen halten.,Gefahrenstelle,synthetisch
Enge Kurve am Donaukanal – Gegenverkehr kaum sichtbar.,Gefahrenstelle,synthetisch
PKW überholen trotz Gegenverkehr auf dem schmalen Radweg.,Gefahrenstelle,synthetisch
Schulweg-Kreuzung ohne ausreichenden Schutz für Radfahrer.,Gefahrenstelle,synthetisch
Abbiegen von der Landstraßer Hauptstraße sehr riskant.,Gefahrenstelle,synthetisch
