text,label
"Tgl. Parker auf dem Radweg, trotz mehrfacher Meldung bei d. Parkraumüberwachung wird dort nicht selbstständig kontrolliert, zwei Radlerinnen kommen nicht aneinander vorbei.",Hindernis
Viel zu lange Autos parken auf den Schrägparkplätzen zum Teil auch mit den Rädern am schlechter beleuchteten Radweg Jetzt gerade waren es 4 oder 5 Autos und das passiert ständig.,Gefahrenstelle
Ampel für Radfahrer defekt seit 2 Wochen,Ampel
Wegen der Baustelle (vermute ich) ist da ein Fahrverbotsschild (ausgenommen Zufahrt oder so). Da sollte Fahrrad auch ausgenommen sein.,Markierung oder Schild
Der Weg ist die direkte Verbindung vom Schöpfwerk zum Bahnhof Meidling. In der Pottendorfer Straße existiert auch ein entsprechender Radweg. Leider ist im Franz-Siller-Weg das Radfahren verboten.,Lückenschluss
der Steg ist im Verlauf der Hauptradroute U4 Meildinger Hauptstraße - Schloss Hetzendorf ist nur über Stufen zu passieren Ideal wäre die Errichtung einer Rampe woe zB Höhe Rosenhügelstraße,Hindernis
"Ob eine provisorische Endhaltestelle ist, weiß ich nicht, aber die Situation in Hebragasse ist äußerst unangenehm. Es ragen einige Autos über die Parkflächen hinaus. Lösung wären Längsparkplätze.",Hindernis
Ist das die erwähnte Abschrägung (am Beginn der Terramaregasse) und ist sie noch zu steil (oder bereits entschärft)?,Hindernis
Das Häuschen (Wiener Netze?) wurde entfernt bzw. AFAIK verkleinert und versetzt,Hindernis
Breite Spalten zwischen den Betonplatten im Gleiskörper sind groß genug dass ein Fahrradreifen hineinpasst. An dieser ungeregelten Kreuzung besteht dadurch erhöhte Sturzgefahr vor dem Querverkehr.,Hindernis
Die Schwellen sind sehr ärgerlich.,Hindernis
"Die Fahrradspur am Fahrbahnrand auf der Bachseite wird im Winter nicht geräumt. Das macht das Radfahren hier noch gefährlicher, besonders in der Kurve.",Hindernis
Da steht ein unbeschildertes Baustellengitter von der Baustelle über 100% des Radweg.,Hindernis
Bahnübergang S-Bahnstation Lobau,Hindernis
